Operacao,TamanhoEntrada,TempoExecucao(ns),MemoriaUso(bytes)
I,1850,300,0
I,1855,300,0
I,1860,300,0
I,1865,300,0
I,1870,300,0
I,1875,300,0
I,1880,300,0
I,1885,300,0
I,1890,200,0
I,1895,300,0
I,1900,300,0
I,1905,300,0
I,1910,300,0
I,1915,300,0
I,1920,300,0
I,1925,300,0
I,1930,300,0
I,1935,300,0
I,1940,300,0
I,1945,300,0
I,1950,300,0
I,1955,200,0
I,1960,300,0
I,1965,300,0
I,1970,300,0
I,1975,300,0
I,1980,300,0
I,1985,300,0
I,1990,300,0
I,1995,300,0
I,2000,300,0
I,2005,300,0
I,2010,300,0
I,2015,300,0
I,2020,300,0
I,2025,300,0
I,2030,300,0
I,2035,300,0
I,2040,300,0
I,2045,300,0
I,2050,300,0
I,2055,300,0
I,2060,200,0
I,2065,300,0
I,2070,300,0
I,2075,300,0
I,2080,200,0
I,2085,300,0
I,2090,200,0
I,2095,300,0
I,2100,300,0
I,2105,300,0
I,2110,300,0
I,2115,300,0
I,2120,300,0
I,2125,300,0
I,2130,400,0
I,2135,300,0
I,2140,300,0
I,2145,300,0
I,2150,300,0
I,2155,300,0
I,2160,300,0
I,2165,300,0
I,2170,300,0
I,2175,300,0
I,2180,300,0
I,2185,400,0
I,2190,300,0
I,2195,300,0
I,2200,300,0
I,2205,300,0
I,2210,300,0
I,2215,300,0
I,2220,300,0
I,2225,300,0
I,2230,300,0
I,2235,300,0
I,2240,300,0
I,2245,300,0
I,2250,300,0
I,2255,300,0
I,2260,300,0
I,2265,300,0
I,2270,300,0
I,2275,300,0
I,2280,300,0
I,2285,300,0
I,2290,300,0
I,2295,300,0
I,2300,300,0
I,2305,400,0
I,2310,300,0
I,2315,300,0
I,2320,400,0
I,2325,300,0
I,2330,300,0
I,2335,300,0
I,2340,300,0
I,2345,300,0
I,2350,300,0
I,2355,300,0
I,2360,300,0
I,2365,300,0
I,2370,400,0
I,2375,300,0
I,2380,300,0
I,2385,300,0
I,2390,300,0
I,2395,300,0
I,2400,300,0
I,2405,300,0
I,2410,300,0
I,2415,300,0
I,2420,300,0
I,2425,300,0
I,2430,300,0
I,2435,300,0
I,2440,300,0
I,2445,300,0
I,2450,300,0
I,2455,300,0
I,2460,300,0
I,2465,300,0
I,2470,400,0
I,2475,300,0
I,2480,300,0
I,2485,300,0
I,2490,300,0
I,2495,300,0
I,2500,300,0
I,2505,300,0
I,2510,300,0
I,2515,300,0
I,2520,300,0
I,2525,300,0
I,2530,300,0
I,2535,300,0
I,2540,300,0
I,2545,300,0
I,2550,300,0
I,2555,300,0
I,2560,300,0
I,2565,300,0
I,2570,300,0
I,2575,300,0
I,2580,300,0
I,2585,300,0
I,2590,300,0
I,2595,300,0
I,2600,300,0
I,2605,300,0
I,2610,300,0
I,2615,300,0
I,2620,300,0
I,2625,300,0
I,2630,300,0
I,2635,300,0
I,2640,300,0
I,2645,300,0
I,2650,300,0
I,2655,300,0
I,2660,300,0
I,2665,300,0
I,2670,300,0
I,2675,300,0
I,2680,300,0
I,2685,300,0
I,2690,300,0
I,2695,300,0
I,2700,300,0
I,2705,300,0
I,2710,300,0
I,2715,300,0
I,2720,300,0
I,2725,300,0
I,2730,300,0
I,2735,300,0
I,2740,300,0
I,2745,300,0
I,2750,400,0
I,2755,300,0
I,2760,300,0
I,2765,300,0
I,2770,300,0
I,2775,300,0
I,2780,300,0
I,2785,300,0
I,2790,300,0
I,2795,300,0
I,2800,300,0
I,2805,300,0
I,2810,300,0
I,2815,300,0
I,2820,300,0
I,2825,300,0
I,2830,400,0
I,2835,300,0
I,2840,300,0
I,2845,300,0
I,2850,300,0
I,2855,300,0
I,2860,300,0
I,2865,300,0
I,2870,300,0
I,2875,300,0
I,2880,300,0
I,2885,300,0
I,2890,300,0
I,2895,300,0
I,2900,300,0
I,2905,300,0
I,2910,300,0
I,2915,300,0
I,2920,300,0
I,2925,300,0
I,2930,300,0
I,2935,400,0
I,2940,300,0
I,2945,300,0
I,2950,300,0
I,2955,300,0
I,2960,300,0
I,2965,300,0
I,2970,300,0
I,2975,300,0
I,2980,300,0
I,2985,300,0
I,2990,300,0
I,2995,300,0
I,3000,400,0
I,3005,300,0
I,3010,300,0
I,3015,300,0
I,3020,300,0
I,3025,300,0
I,3030,400,0
I,3035,300,0
I,3040,300,0
I,3045,300,0
I,3050,300,0
I,3055,300,0
I,3060,300,0
I,3065,300,0
I,3070,300,0
I,3075,300,0
I,3080,300,0
I,3085,300,0
I,3090,300,0
I,3095,300,0
I,3100,300,0
I,3105,300,0
I,3110,300,0
I,3115,300,0
I,3120,300,0
I,3125,400,0
I,3130,300,0
I,3135,300,0
I,3140,300,0
I,3145,300,0
I,3150,300,0
I,3155,300,0
I,3160,300,0
I,3165,300,0
I,3170,300,0
I,3175,300,0
I,3180,300,0
I,3185,300,0
I,3190,300,0
I,3195,300,0
I,3200,300,0
